,ciee,s0,s1,s2,s3
2017-12-31 16:00:00-08:00,2240,0,0,0,0
2017-12-31 16:01:00-08:00,2176,0,0,0,0
2017-12-31 16:02:00-08:00,2120,0,0,0,0
2017-12-31 16:03:00-08:00,2120,0,0,0,0
2017-12-31 16:04:00-08:00,2116,0,0,0,0
2017-12-31 16:05:00-08:00,2120,0,0,0,0
2017-12-31 16:06:00-08:00,2124.444444,0,0,0,0
2017-12-31 16:07:00-08:00,2116,0,0,0,0
2017-12-31 16:08:00-08:00,2108,0,0,0,0
2017-12-31 16:09:00-08:00,2116,0,0,0,0
2017-12-31 16:10:00-08:00,2120,0,0,0,0
2017-12-31 16:11:00-08:00,2115.555556,0,0,0,0
2017-12-31 16:12:00-08:00,2116,0,0,0,0
2017-12-31 16:13:00-08:00,2727.272727,0,0,0,0
2017-12-31 16:14:00-08:00,2736,0,0,0,0
2017-12-31 16:15:00-08:00,2781.818182,0,0,0,0
2017-12-31 16:16:00-08:00,2152,0,0,0,0
2017-12-31 16:17:00-08:00,2148,0,0,0,0
2017-12-31 16:18:00-08:00,2164,0,0,0,0
2017-12-31 16:19:00-08:00,2155.555556,0,0,0,0